target_budget,path,plr_mean,plr_sd,fraud_at_k_mean,fraud_at_k_sd,precision_at_k_mean,precision_at_k_sd,recall_at_k_mean,recall_at_k_sd
20,baseline_bce_probability,0.11821493901179428,0.0949045981697112,16.8,2.04939015319192,0.8400000000000001,0.10246950765959599,0.1768421052631579,0.021572527928335996
20,candidate_postprocessing_p_times_log_amount,0.3421535416985793,0.06762331175034696,16.0,2.23606797749979,0.8,0.11180339887498947,0.16842105263157894,0.023537557657892526
20,selected_candidate_amount_gain,0.574414231037489,0.05599730599477422,19.2,0.8366600265340756,0.96,0.04183300132670378,0.20210526315789473,0.008806947647727102
20,selected_candidate_p_only,0.187727798431946,0.07045666714142149,18.8,1.0954451150103321,0.9399999999999998,0.0547722557505166,0.1978947368421053,0.011531001210635066
50,baseline_bce_probability,0.29707742387963293,0.0887102095686619,43.8,4.024922359499621,0.876,0.08049844718999241,0.4610526315789474,0.04236760378420654
50,candidate_postprocessing_p_times_log_amount,0.7273580187854256,0.07508248272532038,44.6,2.9664793948382653,0.892,0.05932958789676532,0.46947368421052627,0.031226098893034394
50,selected_candidate_amount_gain,0.7244991433352177,0.09629466720670297,41.2,14.131525041551601,0.8240000000000001,0.28263050083103197,0.4336842105263158,0.1487528951742274
50,selected_candidate_p_only,0.5521031269641273,0.08144549390189375,46.4,1.140175425099138,0.9279999999999999,0.022803508501982726,0.488421052631579,0.012001846579990937
100,baseline_bce_probability,0.7545755237470915,0.07962880976638428,77.0,3.605551275463989,0.77,0.03605551275463988,0.8105263157894737,0.0379531713206736
100,candidate_postprocessing_p_times_log_amount,0.7543436510521779,0.0796953426795954,68.8,2.16794833886788,0.688,0.021679483388678762,0.7242105263157895,0.02282050883018819
100,selected_candidate_amount_gain,0.7531778323318289,0.07986720489836618,69.0,7.14142842854285,0.6900000000000001,0.07141428428542852,0.7263157894736841,0.07517293082676685
100,selected_candidate_p_only,0.7545755237470915,0.07962880976638428,77.0,3.605551275463989,0.77,0.03605551275463988,0.8105263157894737,0.0379531713206736
