seed,target_budget,selected_gain,selection_status,final_n_estimators,truncation,eval_at
7,5,exponential,POSITIVE_INNER_PLR_LIFT,2,8,5
7,10,linear,POSITIVE_INNER_PLR_LIFT,2,13,10
7,20,linear,POSITIVE_INNER_PLR_LIFT,51,23,20
7,50,linear,POSITIVE_INNER_PLR_LIFT,47,53,50
7,100,exponential,POSITIVE_INNER_PLR_LIFT,4,103,100
7,200,linear,NO_INNER_VALIDATED_POSITIVE_PLR_LIFT,33,203,200
7,500,linear,POSITIVE_INNER_PLR_LIFT,56,503,500
13,5,exponential,POSITIVE_INNER_PLR_LIFT,1,8,5
13,10,linear,POSITIVE_INNER_PLR_LIFT,2,13,10
13,20,exponential,POSITIVE_INNER_PLR_LIFT,1,23,20
13,50,linear,POSITIVE_INNER_PLR_LIFT,51,53,50
13,100,linear,POSITIVE_INNER_PLR_LIFT,46,103,100
13,200,linear,NO_INNER_VALIDATED_POSITIVE_PLR_LIFT,4,203,200
13,500,exponential,POSITIVE_INNER_PLR_LIFT,7,503,500
42,5,exponential,POSITIVE_INNER_PLR_LIFT,2,8,5
42,10,linear,POSITIVE_INNER_PLR_LIFT,1,13,10
42,20,linear,POSITIVE_INNER_PLR_LIFT,6,23,20
42,50,linear,POSITIVE_INNER_PLR_LIFT,3,53,50
42,100,linear,POSITIVE_INNER_PLR_LIFT,4,103,100
42,200,linear,NO_INNER_VALIDATED_POSITIVE_PLR_LIFT,4,203,200
42,500,linear,NO_INNER_VALIDATED_POSITIVE_PLR_LIFT,7,503,500
123,5,exponential,POSITIVE_INNER_PLR_LIFT,4,8,5
123,10,linear,POSITIVE_INNER_PLR_LIFT,1,13,10
123,20,linear,POSITIVE_INNER_PLR_LIFT,3,23,20
123,50,linear,POSITIVE_INNER_PLR_LIFT,61,53,50
123,100,linear,POSITIVE_INNER_PLR_LIFT,12,103,100
123,200,linear,NO_INNER_VALIDATED_POSITIVE_PLR_LIFT,4,203,200
123,500,linear,NO_INNER_VALIDATED_POSITIVE_PLR_LIFT,23,503,500
202,5,linear,POSITIVE_INNER_PLR_LIFT,2,8,5
202,10,linear,POSITIVE_INNER_PLR_LIFT,2,13,10
202,20,linear,POSITIVE_INNER_PLR_LIFT,3,23,20
202,50,exponential,POSITIVE_INNER_PLR_LIFT,16,53,50
202,100,exponential,POSITIVE_INNER_PLR_LIFT,19,103,100
202,200,exponential,NO_INNER_VALIDATED_POSITIVE_PLR_LIFT,62,203,200
202,500,exponential,POSITIVE_INNER_PLR_LIFT,20,503,500
